0氹	[tam]/1. to cajole someone/2. to pacify someone who is angry
0氹死人	[tam séi yàhn]/to speak in a very charming manner, to have the ability to seduce or charm through language.
0氹鬼食豆腐	[tam gwái sihk dauh fuh]/(to induce a ghost to eat bean curd)/1. to lure someone into a trap, to deceive someone/2. used to express scepticism or disbelief, "you're kidding me!"
0靚	[lēng]/1. a teenager/2. a young man or boy, a "kid". /3. a member of a street gang, the follower of a gang boss
0靚kent	[lēng kēng]/1. a teenage boy or young man, a "kid", a "guy"/2. a term of address, "hey kid"/3. a useless guy, a nobody
0靚仔	[lēng jái]/1. a teenager or young man/2. a street kid; a "tough guy"/3. a young man who is a member of a street gang/4. an aggressive term of address for a boy or younger man or for a man of inferior status, "listen kid, I'm warning you!".
0靚妹	[lēng mūi]/1. a young girl/2. a tough girl, a girl who hangs out on the street/3. a term of address for a girl or young woman or a young woman of inferior status, "listen kid, I'm warning you!".
0靚妹仔	[lēng mūi jái]/a young girl
46709394	[sei luhk chāt lìhng gáu sāam gáu sei]/(four six seven zero nine three nine four)/said of someone who has illicit sex, visits prostitutes, etc. (the pronunciation of the numerals four six seven zero nine three nine four puns with 死佬出嚟攪三攪四 [séi lóu chēut làih gáau sāam gáau sei].)
AA制	[ēi ēi jai]/(AA system)/to split the bill between those who have eaten the meal, to "go Dutch".
AV	[ēi vī]/(<adult video)/sexy or soft pornography films, particulary in the Japanese context
AV女優	[ēi vī néuih yāu]/a young woman who stars in sexy of soft pornography films, particularly in the Japanese context.
AV女郎	[ēi vī néuih lòhng]/a young woman who stars in sexy of soft pornography films, particularly in the Japanese context.
A鐘	[ēi jūng]/(of a nightclub hostess)/to have one's time bought by a client, to sit with a client in a nightclub
BB	[bī bī]/1. a baby/2. a whistle/[bìh bī]/a baby
BB機	[bī bī gēi]/a pager
bel開	[behw hōi]/to nudge, to shove.
Bing Ling Bang Lang	[bìhng līng bàahng làahng]/1. a loud noise/2. a crashing sound/3. a thumping sound/4. very quickly
Bu你阿麼	[bùh ní aa mō]/the Cantonese rendition of the Chiu Chow obscene curse, "fuck your mother!".
B仔	[bī jái]/1. B boy (a nickname)/2. a pet name for the penis/3. cough medicine, cough syrup/4. a prisoner who is given special privileges and light responsibilities by the prison guards (prison officer jargon)
B仔水	[bī jái séui]/cough mixture, cough syrup used as a narcotic (OS)
B哩吧啦	[bī lī bāa lāa]/to continue to talk, to talk nonsense, "chatter on".
Call	[kō]/to telephone someone; to call someone on a pager
Call台	[kō tòih]/communication centre (taxi dispatcher, pager company, etc.)
Call鐘	[kō jūng]/the protector of a prostitute informing the call-girl centre that he is open for business.
cheap	[chīp]/(<cheap)/1. mean with money, mean-spirited/2. low-quality/3. of low character
cheap到痺	[chīp dou bei]/1. extremely cheap; vulgar
Cool	[kū]/in fashion, up-to-date ("cool")
C眼	[sī ngáahn]/the anus, the arse hole
D	[dī]/a discotheque, a disco
Do	[dū]/1. to do/2. to work/3. to have sex
Do嘢	[dū yéh]/1. to work/2. to have sex
D場	[dī chèuhng]/a discotheque, a disco
e	[ē]/1. to speak, to speak up/2. to explain
E仔	[ī jái]/MDMA, Ecstasy, a drug associated with "rave" culture.
e都冇得e	[ē dōu móuh dāk ē]l/to have nothing to say, to have no explanation to offer.
Face	[fēi sí]/1. reputation, "face"/2. respect
Fan屎	[fēn sí]/fans, followers (of pop stars, movie stars)
Feel	[fīu]/1. to feel/2. feeling, senstaion, emotion
Fi li fe le	[fìh lī fèh lèh]/crying loudly
Fing	[fihng]/1. to wave about, to dance crazily/2. to behave in a wild manner
Fing霸	[fihng ba]/the hallucinogenic drug lysergic acid diethylamide or LSD
Fing頭丸	[fihng tàuh yún]/(shake head pill)/Ecstasy, a drug associated with "rave" culture
Fing頭場	[fihng tàuh chèuhng]/a rave club, a rave disco
fit到漏油	[fīt dou làuh yàuh]/(so fit as to be overflowing with oil)/very fit, in great condition
Friend	[fēn]/friend; friendly
Friend過打band	[fēn gwo dá bēn]/(more friendly than band members)/really good friends, very close pals
gap	[gēp]/vagina, "cunt"
gap汁	[gēp jāp]/(<gap juice)/vaginal fluid, "cunt juice".
Gut屎	[gāt sí]/(<guts)/courage, "guts".
Happy	[hēp pí]/(<happy)/1. happy/2. to have a good time, to have fun
Hap唔Happy呀	[hēp m4 hēp pí]/Are you doing OK?
High	[hāai]/(<high)/1. happy, excited/2. high on drugs; to take a drug, to get high on a drug
ichiban	[yīchībāang]/(first rate)/top quality, number one (from Japanese).
In	[īn]/1. fashionable, up-to-date/2. an interview
Inch	[īn chùh]/(<inch)/vain, arrogant, "stuck-up" (a translation of 寸 chyun, "arrogant", which also means "inch").
In咗	[īn jó]/(<interview)/to have been interviewed.
Jam嘢	[jēm yéh]/to play rock music with other people
K	[kē]/excrement, shit/[kēi]/karaoke
Ke	[kē]/excrement, shit
Keeper	[kīp pá]/a supervisor in a message parlour, brothel, etc.
Kind	[kāai]/1. inferior, low class, without influence/2. ignorant (especially with respect to the rules of criminal and triad culture).
K仔	[kēi jái]/ketamine, a drug associated with "rave" culture, "Special K".
K場	[kēi chèuhng]/karaoke bar, karaoke centre
Le fe	[léh féh]/sloppy, messy, untidy
Le hea	[lé he]/to be in a muddle.
Like	[lāi kí]/(<like)/1. to like/2.to be attracted to someone, to fall for someone
lin	[nīn/līn]/breast, "tit"
lin好大	[nīn hóu daaih]/big breasts; big breasted
lin的	[nīn dīk]/nipple
lin頭	[nīn tàuh]/nipple
lin頭硬	[nīn tàuh ngaahng]/erect, stiff nipples
Lui低	[lēui dāi]/to fall down flat
lur	[lēu]/to spit out/[léu]/to manipulate someone by behaving in a coquettish or childishly whinging manner.
lur口水講過	[lēu háu séui góng gwo]/(to spit out the saliva and say it differently)/used to tell someone to take back words that are unlucky or inauspicious.
lur飯應	[lēu faahn ying]/to agree immediately, to accept enthusiastically
M	[ēm]/one's menstrual period
M come	[ēm kām]/menstrual period has arrived.
mag仔	[mēt jái]/magistrate, magistrate's court
man	[mēn]/(<man)/male, virile, tough, manly
mark	[māak]/(<mark)/1. to mark, to watch (football)/2. to reserve the time of a night-club hostess
mark出街	[māak chēut gāai]/to make a reservation to take a nightclub hostess out of the club for dinner, sex, etc.
MB	[ēm bī]/cough mixture, cough syrup used as a narcotic
Mind	[māai]/(<mind)/to mind to care
Mood	[mūt]/a good mood
M到	[ēm dou]/menstrual period has arrived
NG	[ēn jī]/(<N G)/to play a scene (a "take") badly in film-making so that it needs to be shot again (NG stands for "no good").
now攪	[náu gaauh]/1. chaotic, disorderly/2. a nuisance, problematic
OK	[ōu kēi]/(OK)/okay (can be punned with 痾茄 [ō kē] "to defecate")
OL	[ōu ē lòuh]/(<office lady)/an attractive young woman who works in an office (an expression derived from Japan).
on9	[ngohng gāu]/(stupid prick)/an obscene insult for someone who is stupid or incompetent, "stupid prick".
on99	[ngohng gāu gāu]/(stupid prick)/an obscene insult for someone who is stupid or incompetent, "stupid prick".
on9仔	[ngohng gāu jái]/a fool, an idiot
onlun9	[ngohng lán gāu]/(stupid prick)/an obscene insult for someone who is stupid or incompetent, "fucking stupid prick".
out	[āu]/(<out)/behind the times, out of date, old-fashioned, out of touch
outday	[āu dēi]/(<out of date)/behind the times, old-fashioned, out of touch
O仔	[ōu jái]/a tranquiliser
O記	[ōu gei]/the Organised Crime and Triad Bureau of the Hong Kong police
P	[pī]/a party, a get-together
pat pat	[pēt pēt]/bottom, "ass" (child's word, humorous)
pea	[péh]/to be lazy, to be weary, to have no energy
pet pet	[pēt pēt]/bottom, "ass" (child's word, humorous)
