0氹	[tam]\n1. to cajole someone\n2. to pacify someone who is angry
0氹死人	[tam séi yàhn]\nto speak in a very charming manner, to have the ability to seduce or charm through language.
0氹鬼食豆腐	[tam gwái sihk dauh fuh]\n(to induce a ghost to eat bean curd)\n1. to lure someone into a trap, to deceive someone\n2. used to express scepticism or disbelief, "you're kidding me!"
0靚	[lēng]\n1. a teenager\n2. a young man or boy, a "kid". \n3. a member of a street gang, the follower of a gang boss
0靚kent	[lēng kēng]\n1. a teenage boy or young man, a "kid", a "guy"\n2. a term of address, "hey kid"\n3. a useless guy, a nobody
0靚仔	[lēng jái]\n1. a teenager or young man\n2. a street kid; a "tough guy"\n3. a young man who is a member of a street gang\n4. an aggressive term of address for a boy or younger man or for a man of inferior status, "listen kid, I'm warning you!".
0靚妹	[lēng mūi]\n1. a young girl\n2. a tough girl, a girl who hangs out on the street\n3. a term of address for a girl or young woman or a young woman of inferior status, "listen kid, I'm warning you!".
0靚妹仔	[lēng mūi jái]\na young girl
46709394	[sei luhk chāt lìhng gáu sāam gáu sei]\n(four six seven zero nine three nine four)\nsaid of someone who has illicit sex, visits prostitutes, etc. (the pronunciation of the numerals four six seven zero nine three nine four puns with 死佬出嚟攪三攪四 [séi lóu chēut làih gáau sāam gáau sei].)
AA制	[ēi ēi jai]\n(AA system)\nto split the bill between those who have eaten the meal, to "go Dutch".
AV	[ēi vī]\n(<adult video)\nsexy or soft pornography films, particulary in the Japanese context
AV女優	[ēi vī néuih yāu]\na young woman who stars in sexy of soft pornography films, particularly in the Japanese context.
AV女郎	[ēi vī néuih lòhng]\na young woman who stars in sexy of soft pornography films, particularly in the Japanese context.
A鐘	[ēi jūng]\n(of a nightclub hostess)\nto have one's time bought by a client, to sit with a client in a nightclub
BB	[bī bī]\n1. a baby\n2. a whistle\n[bìh bī]\na baby
BB機	[bī bī gēi]\na pager
bel開	[behw hōi]\nto nudge, to shove.
Bing Ling Bang Lang	[bìhng līng bàahng làahng]\n1. a loud noise\n2. a crashing sound\n3. a thumping sound\n4. very quickly
Bu你阿麼	[bùh ní aa mō]\nthe Cantonese rendition of the Chiu Chow obscene curse, "fuck your mother!".
B仔	[bī jái]\n1. B boy (a nickname)\n2. a pet name for the penis\n3. cough medicine, cough syrup\n4. a prisoner who is given special privileges and light responsibilities by the prison guards (prison officer jargon)
B仔水	[bī jái séui]\ncough mixture, cough syrup used as a narcotic (OS)
B哩吧啦	[bī lī bāa lāa]\nto continue to talk, to talk nonsense, "chatter on".
Call	[kō]\nto telephone someone; to call someone on a pager
Call台	[kō tòih]\ncommunication centre (taxi dispatcher, pager company, etc.)
Call鐘	[kō jūng]\nthe protector of a prostitute informing the call-girl centre that he is open for business.
cheap	[chīp]\n(<cheap)\n1. mean with money, mean-spirited\n2. low-quality\n3. of low character
cheap到痺	[chīp dou bei]\n1. extremely cheap; vulgar
Cool	[kū]\nin fashion, up-to-date ("cool")
C眼	[sī ngáahn]\nthe anus, the arse hole
D	[dī]\na discotheque, a disco
Do	[dū]\n1. to do\n2. to work\n3. to have sex
Do嘢	[dū yéh]\n1. to work\n2. to have sex
D場	[dī chèuhng]\na discotheque, a disco
e	[ē]\n1. to speak, to speak up\n2. to explain
E仔	[ī jái]\nMDMA, Ecstasy, a drug associated with "rave" culture.
e都冇得e	[ē dōu móuh dāk ē]l\nto have nothing to say, to have no explanation to offer.
Face	[fēi sí]\n1. reputation, "face"\n2. respect
Fan屎	[fēn sí]\nfans, followers (of pop stars, movie stars)
Feel	[fīu]\n1. to feel\n2. feeling, senstaion, emotion
Fi li fe le	[fìh lī fèh lèh]\ncrying loudly
Fing	[fihng]\n1. to wave about, to dance crazily\n2. to behave in a wild manner
Fing霸	[fihng ba]\nthe hallucinogenic drug lysergic acid diethylamide or LSD
Fing頭丸	[fihng tàuh yún]\n(shake head pill)\nEcstasy, a drug associated with "rave" culture
Fing頭場	[fihng tàuh chèuhng]\na rave club, a rave disco
fit到漏油	[fīt dou làuh yàuh]\n(so fit as to be overflowing with oil)\nvery fit, in great condition
Friend	[fēn]\nfriend; friendly
Friend過打band	[fēn gwo dá bēn]\n(more friendly than band members)\nreally good friends, very close pals
gap	[gēp]\nvagina, "cunt"
gap汁	[gēp jāp]\n(<gap juice)\nvaginal fluid, "cunt juice".
Gut屎	[gāt sí]\n(<guts)\ncourage, "guts".
Happy	[hēp pí]\n(<happy)\n1. happy\n2. to have a good time, to have fun
Hap唔Happy呀	[hēp m4 hēp pí]\nAre you doing OK?
High	[hāai]\n(<high)\n1. happy, excited\n2. high on drugs; to take a drug, to get high on a drug
ichiban	[yīchībāang]\n(first rate)\ntop quality, number one (from Japanese).
In	[īn]\n1. fashionable, up-to-date\n2. an interview
Inch	[īn chùh]\n(<inch)\nvain, arrogant, "stuck-up" (a translation of 寸 chyun, "arrogant", which also means "inch").
In咗	[īn jó]\n(<interview)\nto have been interviewed.
Jam嘢	[jēm yéh]\nto play rock music with other people
K	[kē]\nexcrement, shit\n[kēi]\nkaraoke
Ke	[kē]\nexcrement, shit
Keeper	[kīp pá]\na supervisor in a message parlour, brothel, etc.
Kind	[kāai]\n1. inferior, low class, without influence\n2. ignorant (especially with respect to the rules of criminal and triad culture).
K仔	[kēi jái]\nketamine, a drug associated with "rave" culture, "Special K".
K場	[kēi chèuhng]\nkaraoke bar, karaoke centre
Le fe	[léh féh]\nsloppy, messy, untidy
Le hea	[lé he]\nto be in a muddle.
Like	[lāi kí]\n(<like)\n1. to like\n2.to be attracted to someone, to fall for someone
lin	[nīn/līn]\nbreast, "tit"
lin好大	[nīn hóu daaih]\nbig breasts; big breasted
lin的	[nīn dīk]\nnipple
lin頭	[nīn tàuh]\nnipple
lin頭硬	[nīn tàuh ngaahng]\nerect, stiff nipples
Lui低	[lēui dāi]\nto fall down flat
lur	[lēu]\nto spit out\n[léu]\nto manipulate someone by behaving in a coquettish or childishly whinging manner.
lur口水講過	[lēu háu séui góng gwo]\n(to spit out the saliva and say it differently)\nused to tell someone to take back words that are unlucky or inauspicious.
lur飯應	[lēu faahn ying]\nto agree immediately, to accept enthusiastically
M	[ēm]\none's menstrual period
M come	[ēm kām]\nmenstrual period has arrived.
mag仔	[mēt jái]\nmagistrate, magistrate's court
man	[mēn]\n(<man)\nmale, virile, tough, manly
mark	[māak]\n(<mark)\n1. to mark, to watch (football)\n2. to reserve the time of a night-club hostess
mark出街	[māak chēut gāai]\nto make a reservation to take a nightclub hostess out of the club for dinner, sex, etc.
MB	[ēm bī]\ncough mixture, cough syrup used as a narcotic
Mind	[māai]\n(<mind)\nto mind to care
Mood	[mūt]\na good mood
M到	[ēm dou]\nmenstrual period has arrived
NG	[ēn jī]\n(<N G)\nto play a scene (a "take") badly in film-making so that it needs to be shot again (NG stands for "no good").
now攪	[náu gaauh]\n1. chaotic, disorderly\n2. a nuisance, problematic
OK	[ōu kēi]\n(OK)\nokay (can be punned with 痾茄 [ō kē] "to defecate")
OL	[ōu ē lòuh]\n(<office lady)\nan attractive young woman who works in an office (an expression derived from Japan).
on9	[ngohng gāu]\n(stupid prick)\nan obscene insult for someone who is stupid or incompetent, "stupid prick".
on99	[ngohng gāu gāu]\n(stupid prick)\nan obscene insult for someone who is stupid or incompetent, "stupid prick".
on9仔	[ngohng gāu jái]\na fool, an idiot
onlun9	[ngohng lán gāu]\n(stupid prick)\nan obscene insult for someone who is stupid or incompetent, "fucking stupid prick".
out	[āu]\n(<out)\nbehind the times, out of date, old-fashioned, out of touch
outday	[āu dēi]\n(<out of date)\nbehind the times, old-fashioned, out of touch
O仔	[ōu jái]\na tranquiliser
O記	[ōu gei]\nthe Organised Crime and Triad Bureau of the Hong Kong police
P	[pī]\na party, a get-together
pat pat	[pēt pēt]\nbottom, "ass" (child's word, humorous)
pea	[péh]\nto be lazy, to be weary, to have no energy
pet pet	[pēt pēt]\nbottom, "ass" (child's word, humorous)
PK	[pī kēi]\n1. an exclamation, roughly equivalent to "damn" or "shit!" (euphemistic abbreviation for 仆街 pūk gāai)\n2. a mean person, a nasty person, a "bastard"
pok	[pōk]\n1. a bubble\n2. courage, "guts"
pop	[pōk]\n1. a bubble\n2. courage, "guts"
port	[pōt]\n(<report)\nto report someone to the authorities, to "shop" someone
PR	[pī ā/pī ā lòuh]\na nightclub hostess (from "public relations")
Q	[kīu]\n1. pretty, attractive, "cute"\n2. a euphemistic term that can be substituted for the obscene swearwords 撚 lán, 鳩 gāu\n3. one time, one session, e.g. sex
Quali	[kō lí]\nqualifications, background, status
Q版	[kīu báan]\n(Q version)\n1. cute\n2. a strange, weird or grotesque thing\n3. an adult comic character who has an alter ego who is a child.
R	[āau]\nto scrach
R晒頭	[āau saai tàuh]\n(to scratch one's head)\nto be completely lost in looking for a solution
R講	[āau góng]\nto interrupt a conversation
short	[sōt]\nretarded, slow-witted, stupid, crazy
short總掣	[sōt júng jai]\nretarded, slow-witted, stupid, crazy
SOSO	[sōu sòuh]\n(<social)\nbeing friendly, chatting, being social
taste	[tēi sí]\n(<taste)\ntaste, sense of style
un un吓	[an an há/háh]\n(to wiggle one's body)\na person who is physically unsteady ("un" is a substitution for 䟴)
un un腳	[an an geuk]\n(to jiggle one's feet)\nto rise up in the world; to have no worries ("un" is a substitution for 䟴)
un腳	[an geuk]\nto jiggle one's feet ("un" is a substitution for 䟴)
un身un勢	[un sān an sai]\n(to wiggle one's body)\n1. a person who is physically unsteady\n2. an ungainly or awkward person\n3. someone whose manner suggests they are low class ("un" is a substitution for 䟴)
update	[āp dēi]\n(<up to date)\nin fashion, trendy, in touch with current trends
We We Wet Wet	[wī wī wēt wēt]\n1. to go out on the town\n2. to have a good time
Wet	[wēt]\n1. to go out on the town to have fun\n2. to have a good time, to enjoy oneself
Wet場	[wēt chèuhng]\na place where young people go to have fun (disco, rave party, club)
Wet妹	[wēt mūi]\na young woman or a girl who likes to go out for a good time (bars, discos and clubs)
We哇鬼叫	[wī wā gwái giu]\nshrieking and yelling, screaming
X佢鹵味黑過鬼呀	[díu kéuih lóuh méi, hāk gwo gwái a]\nFuck! Things are really bad.
Yap	[yaap]\n1. no good, bad, low quality\n2. ugly, bad-looking
YP仔	[wāai pī jái]\na prisoner under twenty-one years old (Hong Kong prisons).
㗎	[gàh]\na sentence final particle
㗎仔	[gàh jái]\n1. a Japanese\n2. a young Japanese man, a Japanese boy (colloquial or derogatory)
㗎佬	[gàh lóu]\na Japanese man (colloquial or derogatory)
㗎妹	[gàh mūi]\na young Japanese woman, a Japanese girl (colloquial or derogatory)
㗎話	[gàh wá]\nthe Japanese language
㗎頭	[gàh tàuh]\na Japanese person (colloquial or derogatory)
㢥	[duhng]\n1. wood used in shipbuilding\n2. to set a trap for someone; to frame someone (to "set someone up").
㢥旗	[duhng kèih]\n(to plant one's flag}\n1. to take power in an area (e.g. a triad society)\n2. to set up a triad group in a particular area
㢥起床板	[duhng héi chòhng báan]\n(to stand the bed-boards upright)\nto stay awake thinking about a problem.
㣔差踏錯	[hàahng chā daahp cho]\nto make a mistake, to do something wrong
㩒	[gahm]\nto press
