鸦 鴉 [āa] "a crow"    
鸦乌婆 鴉烏婆 "[āa wū pó]" "(crow black woman)an ugly woman"    
哑 啞 [áa] "a dumb"    
哑仔食黄莲 啞仔食黃蓮 "[áa jái sihk wòhng lìhn]" "a dumb boy eats Coptis seeds→有苦自己知 [yàuh fú jih géi jī] knowing the bitterness by oneself■to have to suffer in silence"    
哑子食黄莲 啞子食黃蓮 "[áa jí sihk wòhng lìhn]" "a dumb boy eats Coptis seeds→有苦自己知 [yàuh fú jih géi jī] knowing the bitterness by oneself■to have to suffer in silence"    
阿 阿 [aa] "an informal prefix for names"    
阿差 阿差 "[aa chāa]" "(<acharya, ""learned men"" in Sanskrit)an Indian, a Parkistani, a South Asian "    
阿灿 阿燦 "[aa chaan]" "mainland Chinese (stereotyped as naive rustic in a Hong Kong television series in the 1970s) (derogatory)"    
阿虫介绍嚟 阿蟲介紹嚟 "[aa chùhng gaai siuh làih]" "(Mr Bug sent me)1. no one sent me2. I've been sent (without saying by whom)"    
阿虫介绍我嚟 阿蟲介紹我嚟 "[aa chùhng gaai siuh ngóh làih]" "(Mr Bug sent me)1. no one sent me2. I've been sent (without saying by whom)"    
阿大 阿大 "[aa dáai]" "1. a gang boss, a traid big brother2. the victim of a fruad"    
阿顶 阿頂 "[aa díng]" "1.a boss2.a triad big borther, a gang boss"    
阿飞 阿飛 "[aa fēi]" "1. a street hooligan2. a petty gangster"    
阿福 阿福 "[aa fūk]" "(Mr Lucky)a fool"    
阿公 阿公 "[aa gūng]" "1. maternal grandfather2. the boss of one's boss in a traid society, the protector of one's triad protector, the big boss"    
阿公嘅 阿公嘅 "[aa gūng ge]" "(maternal grandfather's)1. public, for anyone to use2. resources or funds held in common, belonging to a group or organisation rather than to an individual"    
亚Head 亞Head "[aa hēt]" "(<head)a boss"    
阿Head 阿Head "[aa hēt]" "(<head)a boss"    
阿姐 阿姐 "[aa jē]" "a very capable woman"    
阿吱阿咗 阿吱阿咗 "[aa jī aa jō]" "1. to moan, to whine2. to talk back, to argue"    
阿猪 阿豬 "[aa jyū]" "1. a stupid person2. stupid"    
阿猪阿狗 阿豬阿狗 "[aa jyū aa gáu]" "(any pig or dog)an indefinite phrase used to talk about a hypothetical individual, ""whoever"", ""anyone"", ""any old person"", ""no matter who""."    
阿丽 阿麗 "[aa laih]" "(Miss Beautiful)a nightclub hostess (taxi driver jargon)"    
阿猫阿狗 阿貓阿狗 "[aa māau aa gáu]" "(any cat or dog)an indefinite phrase used to talk about a hypothetical individual, ""whoever"", ""anymore"", ""any old person"", ""no matter who"""    
阿乜水 阿乜水 "[aa māt séui]" "someone whose name the speaker cannot remember or cannot be bothered to recall (""so and so"", ""whatshisname"", ""whatshername"")"    
阿茂 阿茂 "[aa mauh]" "a stupid person"    
阿茂整饼 阿茂整餅 "[aa mauh jíng béng]" "Mr Stupid makes cakes→冇嗰樣整嗰樣 [móuh gó yeuhng jíng gó yeuhng] does something unnecessary■someone doing something pointless or meaningless" " a stupid action "   
阿某某 阿某某 "[aa máuh máuh]" "an indefinite way of referrring to someone whose name is unknown"    
阿毛 阿毛 "[aa mòuh]" "an old woman"    
阿婆赛跑 阿婆賽跑 "[aa pò choi páau]" "old lady races→老西都走呀 [lóuh hāi dōu jáu aa] even an old cunt runs■everybody has gone, everyone has disappeared"    
阿蛇 阿蛇 "[aa sèh]" "(Mr Snake)Sir, a term of address for a policeman or male teacher"    
阿四 阿四 "[aa sei]" "an unimportant person, someone who does odd jobs; who can be ordered around, someone with low status"    
阿星 阿星 "[aa sīng]" "(Mr Singh)an Indian, a Parkistani, a South Asian"    
阿嫂 阿嫂 "[aa sóu]" "1. elder brother's wife2. a term of address for someone's girlfriend or wife"    
阿头 阿頭 "[aa táu]" "(Mr Head)a boss, a chief, a head"    
阿一 阿一 "[aa yāt]" "(Mr One)1. the top boss, the top leader, the ""Mr Big""2. the head of prisons, the director of correctional services3. the chief of police"    
阿一哥 阿一哥 "[aa yāt gō]" "(elder brother number one)1. a boss, a leader, a chief2. the chief of police"    
