?,?,?a,a crow,,,,
???,???,?a w? pó,(crow black woman)an ugly woman,,,,
?,?,áa,a dumb,,,,
?????,?????,áa jái sihk wòhng lìhn,a dumb boy eats Coptis seeds?????? [yàuh fú jih géi j?] knowing the bitterness by oneself?to have to suffer in silence,,,,
?????,?????,áa jí sihk wòhng lìhn,a dumb boy eats Coptis seeds?????? [yàuh fú jih géi j?] knowing the bitterness by oneself?to have to suffer in silence,,,,
?,?,aa,an informal prefix for names,,,,
??,??,aa ch?a,"(<acharya, ""learned men"" in Sanskrit)an Indian, a Parkistani, a South Asian ",,,,
??,??,aa chaan,mainland Chinese (stereotyped as naive rustic in a Hong Kong television series in the 1970s) (derogatory),,,,
?????,?????,aa chùhng gaai siuh làih,(Mr Bug sent me)1. no one sent me2. I've been sent (without saying by whom),,,,
??????,??????,aa chùhng gaai siuh ngóh làih,(Mr Bug sent me)1. no one sent me2. I've been sent (without saying by whom),,,,
??,??,aa dáai,"1. a gang boss, a traid big brother2. the victim of a fruad",,,,
??,??,aa díng,"1.a boss2.a triad big borther, a gang boss",,,,
??,??,aa f?i,1. a street hooligan2. a petty gangster,,,,
??,??,aa f?k,(Mr Lucky)a fool,,,,
??,??,aa g?ng,"1. maternal grandfather2. the boss of one's boss in a traid society, the protector of one's triad protector, the big boss",,,,
???,???,aa g?ng ge,"(maternal grandfather's)1. public, for anyone to use2. resources or funds held in common, belonging to a group or organisation rather than to an individual",,,,
?Head,?Head,aa h?t,(<head)a boss,,,,
?Head,?Head,aa h?t,(<head)a boss,,,,
??,??,aa j?,a very capable woman,,,,
????,????,aa j? aa j?,"1. to moan, to whine2. to talk back, to argue",,,,
??,??,aa jy?,1. a stupid person2. stupid,,,,
????,????,aa jy? aa gáu,"(any pig or dog)an indefinite phrase used to talk about a hypothetical individual, ""whoever"", ""anyone"", ""any old person"", ""no matter who"".",,,,
??,??,aa laih,(Miss Beautiful)a nightclub hostess (taxi driver jargon),,,,
