"三"	"<b>San</b> is an ideogram, as also are 一 <i>i</i> one, 二 <i>êrh</i> two, and the archaic 亖 <i>ssŭ</i> four, for which 四 was substituted at an early date. Odd numbers are regarded as male, even numbers as female.</p>"
"字"	"<b>Tzŭ</b> is composed of 子 <i>tzŭ</i> child and 宀 <i>mien</i> an obsolete character meaning shelter, the former having here the double function of radical or indicator of sense, and of phonetic or indicator of sound. The word originally meant to suckle,—a child beneath a roof; later on, to betroth a girl. It came to be used in the sense of written character under the First Emperor according to some, and according to others about a century later in the famous history by 司馬遷 <i>Ssŭ-ma Chi'en</i>. Previous to that date the characters 名 <i>ming</i> and 文 <i>wên</i> had been used.</p>"
"经"	"<b>Ching</b> is composed of radical 糸 <i>mi</i> five strands of silk as spun by the silkworm, now generally read <i>ssŭ</i> like the duplicated form, and an obsolete phonetic. It originally meant to weave, the warp of a web, and came to be applied to canonical works or classics, thus offering a curious analogy with our own word <i>text</i>. Strictly speaking the property of the Confucianists, it was borrowed by the Buddhists as a suitable equivalent for <i>sûtra</i> (= threads) or that portion of the Canon which contains the actual utterances of Shâkyamuni Buddha. It was subsequently adopted by the Taoists , and has also been employed by Roman Catholic missionaries in their dignified rendering of Bible.</p><hr style=""background-color: #000; color: #000; width: 10em; margin: 2px auto 2px auto;"">"
"人"	"<b>Jen</b> is a picture of the object,—Shakespeare's forked radish. Like all Chinese characters, it is the expression of a root idea, humanity, collectively and individually; and its grammatical functions vary in accordance with its position in a sentence and the exigencies of logic.</p>"
"之"	"<b>Chih</b> originally meant to issue forth as grass from the ground; and by extension, to meet, to arrive at. It has come to be used conventionally as a sign of the possessive case, a particle of subtle influence, and a demonstrative pronoun; also, from its shape, = zigzag.</p>"
"初"	"<b>Ch'u</b> is composed of 刀 <i>tao</i> knife as radical, and 衣 <i>i</i> clothes (衤 in combination), and is said to derive its meaning from the application of a knife or scissors to a piece of new cloth.</p>"
"性"	"<b>Hsing</b> is composed of 心 <i>hsin</i> heart as radical (忄 in combination) and 生 <i>shêng</i> as phonetic. It means the moral nature, disposition, temperament, with which man is endowed at birth. Heart is used as being the seat of the moral and intellectual faculties.</p>"
"本"	"<b>Pên</b> is composed of 木 <i>mu</i> a tree as radical, and a horizontal line to indicate locality. It is much used in the sense of fundamental, original, native, etc."
"善"	"<p><br><b>Shan</b> was originally composed of 羊 <i>yang</i> sheep and 言 <i>yen</i> words doubled. The latter portion has been corrupted, and the character is now classed under radical 口 <i>k'ou</i> mouth. It is noteworthy that sheep enters into several characters referring to excellence, duty, property, etc.</p>"
"相"	"<b>Hsiang</b> is composed of 目 <i>mu</i> eye as radical and 木 <i>mu</i> tree , and originally meant to peer, to scrutinise. It is explained in the Canon of Changes as inability to see through trees, hence to look at; which may be compared with the derivation of <i>lucus a non lucendo</i>. In this sense it is now read <i>hsiang</i><sup><small>4</small></sup>. Read <i>hsiang</i><sup><small>1</small></sup>, it means mutual, reciprocal; but it is often a complementary particle of very elusive value, signifying direction towards anybody or anything.</p>"
